nTimes,nXtrack,ColumnAmountSO2,time
45,11,-0.0096722,2024-01-01 00:00:00
45,12,-0.022106204,2024-01-01 01:00:00
45,13,0.0048067127,2024-01-01 02:00:00
45,14,0.23062126,2024-01-01 03:00:00
45,15,0.01212419,2024-01-01 04:00:00
45,16,-0.011511032,2024-01-01 05:00:00
45,17,0.21931115,2024-01-01 06:00:00
45,18,-0.0057717757,2024-01-01 07:00:00
45,19,0.015373085,2024-01-01 08:00:00
45,20,-0.010171219,2024-01-01 09:00:00
45,21,0.03997683,2024-01-01 10:00:00
45,22,0.04149295,2024-01-01 11:00:00
45,23,0.022944655,2024-01-01 12:00:00
45,24,0.02662567,2024-01-01 13:00:00
46,6,0.0,2024-01-01 14:00:00
46,7,0.017647637,2024-01-01 15:00:00
46,8,-0.007723163,2024-01-01 16:00:00
46,9,-0.01561874,2024-01-01 17:00:00
46,10,-0.055148352,2024-01-01 18:00:00
46,11,0.025043001,2024-01-01 19:00:00
46,12,0.049820643,2024-01-01 20:00:00
46,13,0.036415193,2024-01-01 21:00:00
46,14,-0.025795324,2024-01-01 22:00:00
46,15,-0.008026904,2024-01-01 23:00:00
46,16,-0.045560997,2024-01-02 00:00:00
46,17,-0.07425535,2024-01-02 01:00:00
46,18,0.00398419,2024-01-02 02:00:00
46,19,-0.004352111,2024-01-02 03:00:00
46,20,-0.01129825,2024-01-02 04:00:00
46,21,-0.008470706,2024-01-02 05:00:00
46,22,0.01315679,2024-01-02 06:00:00
46,23,-0.004644702,2024-01-02 07:00:00
46,24,0.01053747,2024-01-02 08:00:00
46,25,0.04193832,2024-01-02 09:00:00
46,26,0.20179214,2024-01-02 10:00:00
46,27,0.053497855,2024-01-02 11:00:00
46,28,-0.038705025,2024-01-02 12:00:00
46,29,0.024558488,2024-01-02 13:00:00
47,3,0.0,2024-01-02 14:00:00
47,4,0.0,2024-01-02 15:00:00
47,5,0.0,2024-01-02 16:00:00
47,6,0.0,2024-01-02 17:00:00
47,7,-0.022571351,2024-01-02 18:00:00
47,8,0.01672667,2024-01-02 19:00:00
47,9,-0.00024089303,2024-01-02 20:00:00
47,10,0.003970637,2024-01-02 21:00:00
47,11,0.0019616883,2024-01-02 22:00:00
47,12,-0.032011345,2024-01-02 23:00:00
47,13,-0.07794875,2024-01-03 00:00:00
47,14,0.03382008,2024-01-03 01:00:00
47,15,-0.019311734,2024-01-03 02:00:00
47,16,0.04717573,2024-01-03 03:00:00
47,17,0.04189043,2024-01-03 04:00:00
47,18,0.0072915596,2024-01-03 05:00:00
47,19,-0.018373901,2024-01-03 06:00:00
47,20,0.040662903,2024-01-03 07:00:00
47,21,-0.04209647,2024-01-03 08:00:00
47,22,-0.06091449,2024-01-03 09:00:00
47,23,-0.009434984,2024-01-03 10:00:00
47,24,-0.038536903,2024-01-03 11:00:00
47,25,-0.0061019296,2024-01-03 12:00:00
47,26,-0.04983999,2024-01-03 13:00:00
47,27,0.013186895,2024-01-03 14:00:00
47,28,-0.012441249,2024-01-03 15:00:00
47,29,-0.021684365,2024-01-03 16:00:00
47,30,0.06671466,2024-01-03 17:00:00
47,31,0.1542924,2024-01-03 18:00:00
47,32,-0.004973738,2024-01-03 19:00:00
48,2,0.0,2024-01-03 20:00:00
48,3,0.0,2024-01-03 21:00:00
48,4,0.0,2024-01-03 22:00:00
48,5,0.0,2024-01-03 23:00:00
48,6,0.0,2024-01-04 00:00:00
48,7,0.027720971,2024-01-04 01:00:00
48,8,0.03391249,2024-01-04 02:00:00
48,9,0.03591452,2024-01-04 03:00:00
48,10,-0.029151829,2024-01-04 04:00:00
48,11,0.00031920546,2024-01-04 05:00:00
48,12,-0.008515824,2024-01-04 06:00:00
48,13,0.018176464,2024-01-04 07:00:00
48,14,0.006809712,2024-01-04 08:00:00
48,15,-0.004899215,2024-01-04 09:00:00
48,16,0.018045459,2024-01-04 10:00:00
48,17,0.051376015,2024-01-04 11:00:00
48,18,0.005207076,2024-01-04 12:00:00
48,19,0.027248425,2024-01-04 13:00:00
48,20,0.014187498,2024-01-04 14:00:00
48,21,-0.022758424,2024-01-04 15:00:00
48,22,-0.039648075,2024-01-04 16:00:00
48,23,-0.0027797306,2024-01-04 17:00:00
48,24,0.05202458,2024-01-04 18:00:00
48,25,-0.0325256,2024-01-04 19:00:00
48,26,0.016431514,2024-01-04 20:00:00
48,27,0.0082697105,2024-01-04 21:00:00
48,28,-0.026618581,2024-01-04 22:00:00
48,29,0.055179127,2024-01-04 23:00:00
48,30,0.006974371,2024-01-05 00:00:00
48,31,-0.0009619529,2024-01-05 01:00:00
48,32,-0.061975263,2024-01-05 02:00:00
48,33,0.0073456895,2024-01-05 03:00:00
49,1,0.0,2024-01-05 04:00:00
49,2,0.0,2024-01-05 05:00:00
49,3,0.0,2024-01-05 06:00:00
49,4,0.0,2024-01-05 07:00:00
49,5,0.0,2024-01-05 08:00:00
49,6,0.0,2024-01-05 09:00:00
49,7,-0.015780082,2024-01-05 10:00:00
49,8,0.003140418,2024-01-05 11:00:00
49,9,0.011583527,2024-01-05 12:00:00
49,10,0.0030265274,2024-01-05 13:00:00
49,11,-0.041733727,2024-01-05 14:00:00
49,12,0.015705382,2024-01-05 15:00:00
49,13,-0.008813566,2024-01-05 16:00:00
49,14,-0.010950884,2024-01-05 17:00:00
49,15,0.0065792203,2024-01-05 18:00:00
49,16,-6.4015176e-06,2024-01-05 19:00:00
49,17,0.020481756,2024-01-05 20:00:00
49,18,0.01595287,2024-01-05 21:00:00
49,19,0.11514606,2024-01-05 22:00:00
49,20,0.00040404726,2024-01-05 23:00:00
49,21,0.060410917,2024-01-06 00:00:00
49,22,0.023811184,2024-01-06 01:00:00
49,23,-0.012388697,2024-01-06 02:00:00
49,24,-0.04250558,2024-01-06 03:00:00
49,25,-0.009297211,2024-01-06 04:00:00
49,26,0.04559488,2024-01-06 05:00:00
49,27,0.07122731,2024-01-06 06:00:00
49,28,0.04646419,2024-01-06 07:00:00
49,29,-0.056383584,2024-01-06 08:00:00
49,30,-0.045133974,2024-01-06 09:00:00
49,31,-1.1222315e-05,2024-01-06 10:00:00
49,32,0.028926732,2024-01-06 11:00:00
49,33,-0.07040435,2024-01-06 12:00:00
49,34,-0.16568142,2024-01-06 13:00:00
50,0,-0.01743662,2024-01-06 14:00:00
50,1,0.0,2024-01-06 15:00:00
50,2,0.0,2024-01-06 16:00:00
50,3,0.0,2024-01-06 17:00:00
50,4,0.0,2024-01-06 18:00:00
50,5,0.0,2024-01-06 19:00:00
50,6,-0.0019641744,2024-01-06 20:00:00
50,7,0.033999566,2024-01-06 21:00:00
50,8,-0.03337808,2024-01-06 22:00:00
50,9,-0.014245609,2024-01-06 23:00:00
50,10,0.020078773,2024-01-07 00:00:00
50,11,0.03687684,2024-01-07 01:00:00
50,12,0.022004005,2024-01-07 02:00:00
50,13,0.0652623,2024-01-07 03:00:00
50,14,-0.012246782,2024-01-07 04:00:00
50,15,-0.015027683,2024-01-07 05:00:00
50,16,-0.017544765,2024-01-07 06:00:00
50,17,-0.020197418,2024-01-07 07:00:00
50,18,-0.072802596,2024-01-07 08:00:00
50,19,0.013267734,2024-01-07 09:00:00
50,20,-0.020034572,2024-01-07 10:00:00
50,21,-0.0032253973,2024-01-07 11:00:00
50,22,0.02909352,2024-01-07 12:00:00
50,23,-0.012177918,2024-01-07 13:00:00
50,24,0.04295113,2024-01-07 14:00:00
50,25,-0.039304726,2024-01-07 15:00:00
50,26,-0.022365848,2024-01-07 16:00:00
50,27,-0.102633394,2024-01-07 17:00:00
50,28,-0.0112561,2024-01-07 18:00:00
50,29,-0.00036612715,2024-01-07 19:00:00
50,30,0.016959148,2024-01-07 20:00:00
50,31,0.014941079,2024-01-07 21:00:00
50,32,0.072560556,2024-01-07 22:00:00
50,33,-0.061080676,2024-01-07 23:00:00
50,34,0.06974626,2024-01-08 00:00:00
50,35,-0.06027539,2024-01-08 01:00:00
51,0,0.040072843,2024-01-08 02:00:00
51,1,0.0,2024-01-08 03:00:00
51,2,0.0,2024-01-08 04:00:00
51,3,0.0,2024-01-08 05:00:00
51,4,0.0,2024-01-08 06:00:00
51,5,0.0,2024-01-08 07:00:00
51,6,-0.017383508,2024-01-08 08:00:00
51,7,-0.0031742535,2024-01-08 09:00:00
51,8,-0.014586496,2024-01-08 10:00:00
51,9,-0.034052137,2024-01-08 11:00:00
51,10,0.005870222,2024-01-08 12:00:00
51,11,-0.03355065,2024-01-08 13:00:00
51,12,-0.0075825634,2024-01-08 14:00:00
